file,valid_hex,checksum_status,function_addr,candidate_type,score,confidence,role_candidate,basic_block_count,internal_block_count,incoming_lcalls,call_count,xdata_read_count,xdata_write_count,movc_count,string_refs,cluster_hits,rtos_core_hits,service_flag_hits,secondary_flag_hits,arithmetic_hits,notes
ppkp2012 a01.PZU,false,checksum_error,0xB42C,dispatcher_candidate,7,hypothesis,dispatcher_or_router,36,35,1,19,3,0,0,0,0,0,0,0,4,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x4100,dispatcher_candidate,6,hypothesis,dispatcher_or_router,12,11,0,5,1,0,0,0,0,0,0,0,15,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x4176,table_string_candidate,6,hypothesis,state_reader_or_packet_builder,7,6,0,1,5,0,0,0,0,0,0,0,8,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x67C4,xdata_writer_candidate,6,hypothesis,state_update_worker,13,12,1,3,8,4,0,0,0,0,0,0,0,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0xA307,xdata_writer_candidate,6,hypothesis,unknown,1,0,1,1,1,1,0,0,0,0,0,0,0,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0xB5D2,table_string_candidate,6,hypothesis,state_reader_or_packet_builder,11,10,1,1,5,0,0,0,1,0,0,0,0,checksum_error_limits_confidence
ppkp2012 a01.PZU,false,checksum_error,0x458A,table_string_candidate,5,hypothesis,unknown,4,3,2,1,0,0,1,1,0,0,0,0,2,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x47FE,xdata_reader_candidate,5,hypothesis,unknown,6,5,3,2,1,0,0,0,0,0,0,0,4,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x48AB,dispatcher_candidate,5,hypothesis,dispatcher_or_router,41,40,1,16,0,0,0,0,0,0,0,0,57,checksum_error_limits_confidence;no_rtos_cluster_hits
ppkp2012 a01.PZU,false,checksum_error,0x4A9E,dispatcher_candidate,5,hypothesis,dispatcher_or_router,28,27,2,13,0,0,0,0,0,0,0,0,18,checksum_error_limits_confidence;no_rtos_cluster_hits
